tweet_url,author_name,author_id,text,created_at,reply_to,retweet_from,like_count,reply_count,retweet_count,photo,video,link
https://x.com/Toyota/status/8511540606,Toyota USA,@Toyota,"@wileyccoyote because it's complex, please visit www.toyota.com/recall. Does not included Scion or Lexus  #lentz",2010-02-01T19:59:41.000Z,@ShearShareCEO,,0,0,0,FALSE,FALSE,TRUE
https://x.com/Toyota/status/8511586174,Toyota USA,@Toyota,@dealerist we have a closed dealer network that we use to communicate directly to our dealers.  #lentz,2010-02-01T20:00:58.000Z,@dealerist,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8511653912,Toyota USA,@Toyota,@raywert starts with taking care of customers first on the current recall efforts & we've built a lot of good will with customers.  #lentz,2010-02-01T20:02:58.000Z,@raywert,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8511673700,Toyota USA,@Toyota,"@raywert we believe if we do this right, customers will come back #lentz",2010-02-01T20:03:33.000Z,@raywert,,0,0,1,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8511729014,Toyota USA,@Toyota,@HannahElliott difficult to answer now. It wll be measured in months not weeks. We begin repairs this week & have a better idea then #lentz,2010-02-01T20:05:13.000Z,@HannahElliott,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8511790794,Toyota USA,@Toyota,@dealerist We're in the process of providing dealers more info. Some dealers are using effectively already. #lentz,2010-02-01T20:07:06.000Z,@dealerist,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8511903337,Toyota USA,@Toyota,@singlespeed there have not been any incidences of electronic problems. The electronics have multiple fail-safe mechanisms built in. #lentz,2010-02-01T20:10:37.000Z,@singlespeed,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8511945177,Toyota USA,@Toyota,@HannahElliott I'm driving an RX Hybrid or my wife's recalled Prius #lentz,2010-02-01T20:11:56.000Z,@HannahElliott,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8512038080,Toyota USA,@Toyota,@MT_Floyd Yes. We are confident that the Denso pedals are ok #lentz,2010-02-01T20:14:50.000Z,@AM_MikeFloyd,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8512066237,Toyota USA,@Toyota,@DOUGBONCZEK 2004 - 2009 is part of the floormat recall. #lentz,2010-02-01T20:15:40.000Z,@DOUGBONCZEK,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8512161338,Toyota USA,@Toyota,@Mark_Kleis I have no knowledge of Denso pedals being recalled. #lentz,2010-02-01T20:18:37.000Z,@Mark_Kleis,,0,0,0,FALSE,FALSE,FALSE
https://x.com/Toyota/status/8512213237,Toyota USA,@Toyota,@RobertKoesti No - and they're available for sale at dealerships today ; ) #lentz,2010-02-01T20:20:13.000Z,,,0,0,0,FALSE,FALSE,FALSE
